year,price,mileage,tax,mpg,engineSize,car_age,mileage_per_year,fuel_efficiency_per_engine_size,model_ I20,model_ Tucson,model_ I10,model_ IX35,model_ I30,model_ I40,model_ Ioniq,model_ Kona,model_ Veloster,model_ I800,model_ IX20,model_ Santa Fe,model_ Accent,model_ Terracan,model_ Getz,model_ Amica,transmission_Manual,transmission_Automatic,transmission_Semi-Auto,transmission_Other,fuelType_Petrol,fuelType_Diesel,fuelType_Hybrid,fuelType_Other
2017,7999,17307,145,58.9,1.2,7,2472.4285714285716,49.083333333333336,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2016,14499,25233,235,43.5,2.0,8,3154.125,21.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2016,11399,37877,30,61.7,1.7,8,4734.625,36.294117647058826,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2016,6499,23789,20,60.1,1.0,8,2973.625,60.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2015,10199,33177,160,51.4,2.0,9,3686.3333333333335,25.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2015,6149,41650,20,60.1,1.0,9,4627.777777777777,60.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2015,6799,39547,30,55.4,1.2,9,4394.111111111111,46.166666666666664,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2016,14199,30300,125,57.6,1.7,8,3787.5,33.88235294117647,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2018,10399,38082,145,51.4,1.4,6,6347.0,36.714285714285715,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2016,12163,21014,30,61.7,1.7,8,2626.75,36.294117647058826,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2017,13200,22888,150,61.7,1.7,7,3269.714285714286,36.294117647058826,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2017,10000,20000,150,56.5,1.0,7,2857.1428571428573,56.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2015,6900,26413,30,55.4,1.2,9,2934.777777777778,46.166666666666664,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2019,17750,10000,150,34.9,1.6,5,2000.0,21.812499999999996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2017,14600,18626,125,57.6,1.7,7,2660.8571428571427,33.88235294117647,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2015,8700,31979,30,65.7,1.7,9,3553.222222222222,38.64705882352941,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2017,13000,26685,30,61.7,1.7,7,3812.1428571428573,36.294117647058826,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2018,7100,35000,145,60.1,1.0,6,5833.333333333333,60.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2016,7500,6000,20,57.6,1.2,8,750.0,48.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2017,12000,17059,30,61.7,1.7,7,2437.0,36.294117647058826,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2017,11695,49174,145,44.8,1.6,7,7024.857142857143,27.999999999999996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2015,7995,6413,30,55.4,1.2,9,712.5555555555555,46.166666666666664,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2015,10700,34177,30,61.7,1.7,9,3797.4444444444443,36.294117647058826,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2016,8100,7447,30,57.6,1.2,8,930.875,48.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2013,8200,34500,145,53.3,1.7,11,3136.3636363636365,31.352941176470587,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2016,6600,16751,30,57.6,1.2,8,2093.875,48.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2018,13900,16265,150,44.8,1.6,6,2710.8333333333335,27.999999999999996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2018,13700,19087,145,44.8,1.6,6,3181.1666666666665,27.999999999999996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2017,8300,38206,145,78.4,1.6,7,5458.0,49.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2016,15800,20025,125,57.6,1.7,8,2503.125,33.88235294117647,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2018,15000,32227,135,78.5,1.6,6,5371.166666666667,49.0625,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2015,15200,28904,200,46.3,0.0,9,3211.5555555555557,38.583333333333336,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2014,7700,8646,160,45.6,0.0,10,864.6,38.583333333333336,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2017,10500,17663,20,72.4,0.0,7,2523.285714285714,38.583333333333336,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2017,11400,12661,145,44.1,0.0,7,1808.7142857142858,38.583333333333336,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2018,12995,7359,145,52.3,1.0,6,1226.5,52.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2019,18000,4353,145,35.3,1.6,5,870.6,22.062499999999996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2018,9000,7126,145,60.1,0.0,6,1187.6666666666667,38.583333333333336,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2014,8300,36324,160,43.5,1.6,10,3632.4,27.1875,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2018,8500,12948,145,60.1,0.0,6,2158.0,38.583333333333336,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2019,14500,2481,145,41.5,0.0,5,496.2,38.583333333333336,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2016,13800,27311,30,61.7,0.0,8,3413.875,38.583333333333336,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2016,9000,34443,0,78.4,0.0,8,4305.375,38.583333333333336,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2017,13800,16961,30,61.7,0.0,7,2423.0,38.583333333333336,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2017,14100,5067,145,44.8,1.6,7,723.8571428571429,27.999999999999996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2013,5000,45230,20,61.4,0.0,11,4111.818181818182,38.583333333333336,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2018,10300,6349,145,57.6,0.0,6,1058.1666666666667,38.583333333333336,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2015,11500,13268,30,65.7,0.0,9,1474.2222222222222,38.583333333333336,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2016,9000,29610,0,78.4,0.0,8,3701.25,38.583333333333336,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2015,11400,23041,165,51.4,0.0,9,2560.1111111111113,38.583333333333336,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2017,10000,21821,145,61.4,0.0,7,3117.285714285714,38.583333333333336,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2018,7800,17397,150,60.1,0.0,6,2899.5,38.583333333333336,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2016,6300,31854,20,60.1,0.0,8,3981.75,38.583333333333336,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2016,11300,37993,30,61.7,0.0,8,4749.125,38.583333333333336,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2018,15500,30305,145,31.7,0.0,6,5050.833333333333,38.583333333333336,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2018,11700,3920,150,46.3,0.0,6,653.3333333333334,38.583333333333336,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
